Datetime,tem_data
1694113583,30.625
1694113613,30.75
1694113643,30.9375
1694113673,31
1694113703,31.125
1694113733,31.25
1694113763,31.4375
1694113793,31.4375
1694113823,31.5
1694113853,31.625
1694113883,31.625
1694113913,31.6875
1694113943,31.6875
1694113973,31.75
1694114003,31.8125
1694114033,31.8125
1694114063,31.8125
1694114094,31.75
1694114124,31.8125
1694114154,31.8125
1694114184,31.8125
1694114214,31.8125
1694114244,31.875
1694114274,31.8125
1694114304,31.875
1694114334,31.8125
1694114364,31.8125
1694114394,31.8125
1694114424,31.8125
1694114454,31.75
1694114484,31.75
1694114514,31.8125
1694114544,31.8125
1694114574,31.8125
1694114604,31.75
1694114634,31.75
1694114664,31.75
1694114694,31.75
1694114724,31.75
1694114754,31.75
1694114784,31.75
1694114814,31.75
1694114844,31.75
1694114875,31.75
1694114904,31.75
1694114934,31.75
1694114964,31.75
1694114994,31.75
1694115024,31.8125
1694115055,31.75
1694115085,31.75
1694115115,31.6875
1694115145,31.75
1694115175,31.6875
1694115205,31.6875
1694115235,31.75
1694115265,31.8125
1694115295,31.6875
1694115325,31.75
1694115355,31.625
1694115385,31.625
1694115415,31.6875
1694115445,31.6875
1694115475,31.6875
1694115505,31.6875
1694115535,31.625
1694115565,31.5625
1694115595,31.6875
1694115625,31.75
1694115655,31.6875
1694115685,31.6875
1694115715,31.6875
1694115745,31.625
1694115775,31.6875
1694115805,31.6875
1694115835,31.625
1694115865,31.6875
1694115895,31.75
1694115925,31.6875
1694115956,31.6875
1694115985,31.6875
1694116016,31.6875
1694116046,31.6875
1694116076,31.625
1694116106,31.6875
1694116136,31.6875
1694116166,31.625
1694116196,31.5625
1694116226,31.6875
1694116256,31.6875
1694116286,31.625
1694116316,31.625
1694116346,31.625
1694116376,31.625
1694116406,31.5625
1694116436,31.625
1694116466,31.625
1694116496,31.625
1694116526,31.625
1694116556,31.625
1694116586,31.5625
1694116616,31.5625
1694116646,31.625
1694116676,31.6875
1694116706,31.625
1694116736,31.6875
1694116767,31.6875
1694116796,31.6875
1694116826,31.625
1694116856,31.6875
1694116887,31.6875
1694116916,31.625
1694116947,31.625
1694116977,31.5625
1694117007,31.625
1694117037,31.625
1694117067,31.625
1694117097,31.625
1694117127,31.6875
1694117157,31.6875
1694117187,31.6875
1694117217,31.6875
1694117247,31.625
1694117277,31.6875
1694117307,31.625
1694117337,31.625
1694117367,31.5625
1694117397,31.5625
1694117427,31.625
1694117457,31.625
1694117487,31.6875
1694117517,31.6875
1694117547,31.6875
1694117577,31.6875
1694117607,31.75
1694117637,31.75
1694117667,31.6875
1694117697,31.625
1694117727,31.625
1694117757,31.625
1694117787,31.625
1694117818,31.625
1694117847,31.6875
1694117878,31.6875
1694117908,31.6875
1694117938,31.6875
